team,torvik_rank,torvik_rating,torvik_adjoe,torvik_adjde,torvik_wab,torvik_wab_rank
Texas St.,230,0.357923,104.6256,110.0197,-9.8215,215
Texas Tech,10,0.94931,127.17,98.527,5.517,18
The Citadel vs. 173 East Tennessee St.,347,0.1028347,99.6332,120.3349,-17.5339,339
Toledo,139,0.5543139,114.591,112.3239,-8.6186,186
Towson vs. 301 Hampton,203,0.4247203,102.529,105.396,-8.4179,179
Troy,158,0.5167158,110.9133,110.3204,-6.3134,134
Tulane,210,0.416321,106.4227,109.619,-7.5161,161
Tulsa,56,0.814256,122.928,108.1157,-0.658,58
UAB,133,0.5867133,108.3179,105.093,-5.311,110
UC Davis,163,0.5064163,108.0183,107.7145,-7.1148,148
UC Irvine,110,0.654211,103.727,98.126,-5.3111,111
UC Riverside,256,0.3102256,103.5275,110.9213,-15.331,310
UC San Diego,121,0.6114121,107.1211,102.962,-5.5116,116
UC Santa Barbara,120,0.611712,114.787,110.2203,-7.4153,153
UCLA,30,0.89493,123.124,102.253,2.433,33
UMBC,195,0.4344195,106.5224,109.0179,-5.2109,109
UMKC,359,0.0659359,93.5358,117.7324,-21.536,360
UMass Lowell,319,0.1923319,102.5289,116.2307,-12.8271,271
UNC Asheville vs. 92 High Point,263,0.3029263,104.0263,111.823,-11.9251,251
UNC Greensboro vs. 266 Wofford,295,0.2322295,107.9186,119.7345,-14.3293,293
UNC Wilmington,115,0.6186115,111.3127,106.7123,-1.873,73
USC Upstate,307,0.2155307,99.1338,110.9212,-14.2292,292
UT Arlington,181,0.4669181,102.3296,103.572,-7.5158,158
UT Rio Grande Valley,122,0.6061122,111.2128,107.1132,-7.516,160
UTEP,273,0.2839273,101.8304,110.3206,-13.9287,287
UTSA,337,0.1327337,100.6318,118.5336,-17.8344,344
Utah,111,0.6520111,114.59,108.4166,-8.1175,175
Utah State,39,0.883539,123.123,103.269,2.632,32
Utah Tech,183,0.4602183,110.5142,112.0232,-6.6138,138
Utah Valley,88,0.723388,112.5111,103.574,-2.276,76
VMI,360,0.065736,98.934,124.6364,-22.3361,361
Valparaiso,159,0.5160159,107.9185,107.314,-8.3178,178
Vanderbilt,19,0.934319,124.915,99.128,5.22,20
Vermont,265,0.2996265,105.2247,113.3263,-8.6185,185
Villanova,37,0.885637,119.744,100.232,4.322,23
Virginia,16,0.935616,121.337,96.116,6.513,12
Virginia Commonwealth,53,0.817653,119.147,104.587,1.044,43
Virginia Tech,50,0.82415,117.561,102.76,-0.0552,52
Wagner,318,0.1979318,102.8286,116.1306,-12.7266,266
Wake Forest,68,0.780868,118.157,105.7105,-3.183,83
Washington,47,0.838347,116.866,101.243,-2.68,80
Washington St.,125,0.6002125,114.689,110.6208,-11.224,240
Weber St.,196,0.4324196,111.2129,113.8276,-9.8216,216
West Georgia,297,0.2296297,102.3295,113.6271,-12.5263,263
West Virginia,60,0.79976,109.9152,97.421,-1.465,65
Western Carolina vs. 200 Mercer,224,0.3774224,110.2147,115.1296,-9.8218,218
Western Illinois,365,0.0382365,93.1359,123.2361,-23.0362,362
Western Kentucky,147,0.5302147,108.2182,107.013,-6.9146,146
Western Michigan,280,0.258828,107.4201,117.7326,-15.3311,311
Wichita State,89,0.717889,111.4126,102.759,-3.691,91
William & Mary vs. 255 Elon,143,0.5395143,111.5123,110.0198,-6.4135,135
Winthrop vs. 281 Presbyterian,167,0.4911167,111.0132,111.3221,-4.9105,105
Wisconsin,22,0.916622,125.512,101.948,3.228,28
Wofford vs. 295 UNC Greensboro,266,0.2978266,109.0169,117.5321,-8.5184,184
Wright St.,129,0.5900129,113.1105,109.5189,-6.8142,142
Wyoming,100,0.68341,114.292,106.8125,-4.7101,101
Xavier,91,0.702391,116.569,108.1158,-4.8103,103
Yale,94,0.694994,118.851,110.6207,-0.76,60
Youngstown St.,192,0.4403192,106.6221,108.8172,-12.6265,265
